XCoord,YCoord,OBJECTID,CLASS,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_9,BAND_10,BAND_11,BAND_12,BAND_13,BAND_14,BAND_15,BAND_16
8080831.23240000,2635717.84340000,226,2,150,128,150,48,100,86,100,32,8,6,6,3,1200,843,900,376
8073070.59680000,2638215.04220000,227,2,150,102,126,54,100,68,84,36,4,4,4,2,600,484,540,280
8081726.04440000,2628230.85120000,228,2,141,104,138,59,94,70,92,39,3,2,3,1,423,324,387,197
8086797.74850000,2634077.57130000,229,2,144,117,139,49,96,78,93,33,2,3,3,1,288,353,414,158
8080717.21570000,2634673.03020000,230,2,150,125,150,54,100,84,100,36,6,5,5,2,900,711,750,337
8070021.00800000,2644451.51680000,231,2,127,53,54,49,85,35,36,32,4,3,3,2,508,218,216,207
8080716.61960000,2634675.46200000,232,2,150,125,150,54,100,84,100,36,6,5,5,2,900,711,750,337
8079036.50390000,2629554.34520000,233,2,150,104,145,65,100,69,97,43,4,3,4,2,600,426,520,281
8080835.05320000,2635721.66170000,234,2,148,127,150,49,99,85,100,33,7,6,6,3,1036,839,900,382
8067203.13730000,2638628.78600000,235,2,147,118,138,46,98,79,92,31,4,3,3,1,588,424,444,186
8070858.21750000,2644299.22750000,236,2,130,32,0,44,87,21,0,29,3,1,0,1,390,96,0,135
8067139.64410000,2638576.97140000,237,2,135,108,132,49,90,72,88,33,4,3,3,1,540,396,426,195
8083004.60100000,2655513.58910000,238,2,150,101,130,60,100,68,87,40,5,5,5,3,750,643,735,431
8087040.47620000,2656727.65240000,239,2,139,78,102,59,93,52,68,40,4,3,4,2,556,318,408,247
8084264.40890000,2646951.71680000,240,2,144,22,0,46,96,14,0,31,6,1,0,3,864,136,0,307
8069865.10100000,2660904.17420000,241,2,82,59,31,63,55,39,21,42,5,3,3,3,410,326,138,375
8081732.21460000,2628230.33860000,242,2,150,103,136,59,100,69,91,40,3,2,3,1,450,326,390,200
8088040.07080000,2640813.84560000,243,2,150,124,144,45,100,83,96,30,3,3,3,1,450,452,450,195
8067138.62060000,2638581.89900000,244,2,135,108,132,49,90,72,88,33,4,3,3,1,540,396,426,195
8086820.11130000,2633920.57130000,245,2,150,110,136,55,100,74,91,37,4,3,3,1,600,385,435,207
8074648.45760000,2639745.78880000,246,2,141,110,139,56,94,73,93,37,6,4,4,2,846,506,576,275
8067281.52690000,2638536.52820000,247,2,150,108,136,54,100,72,91,36,3,3,3,1,450,388,432,215
8073090.42780000,2638290.22130000,248,2,147,92,109,55,98,61,73,37,6,4,4,2,882,422,474,265
8086911.93780000,2656826.79630000,249,2,82,77,99,60,55,51,66,40,4,3,4,2,328,360,444,288
8083017.72480000,2655526.74160000,250,2,150,100,129,59,100,67,86,40,5,5,5,3,750,615,695,412
8081740.21960000,2628217.50600000,251,2,127,100,133,60,85,67,89,40,3,2,3,1,381,319,381,203
8080834.12130000,2635726.02880000,252,2,148,127,150,49,99,85,100,33,7,6,6,3,1036,839,900,382
8081970.46610000,2631365.95970000,253,2,147,109,136,56,98,73,91,37,5,4,5,2,735,580,620,344
8086781.38510000,2634073.91010000,254,2,148,115,138,51,99,77,92,34,2,3,3,1,296,349,414,163
8080411.73700000,2634416.53160000,255,2,99,96,142,67,66,64,95,45,6,4,4,3,594,516,600,388
8073042.24270000,2638239.46700000,256,2,148,94,115,55,99,63,77,37,5,4,5,2,740,488,556,298
8084606.03900000,2646474.04090000,257,2,150,108,142,57,100,72,95,38,9,7,8,3,1350,902,1088,490
8083303.31050000,2655429.70080000,258,2,141,47,0,61,94,31,0,41,10,4,0,5,1410,461,0,619
